 3.548E-01  9.051E+02  9.028E+02  4.960E+02  4.423E+02  1.018E-03  7.296E-04  2.289E+01  7.195E+00  5.703E+00  4.496E+00  8.107E-05  0.000E+00
 3.981E-01  7.424E+02  7.388E+02  4.087E+02  3.623E+02  1.110E-03  1.121E-03  2.149E+01  6.648E+00  5.065E+00  4.010E+00  7.225E-05  0.000E+00
 4.467E-01  6.066E+02  6.021E+02  3.352E+02  2.956E+02  1.115E-03  1.135E-03  2.000E+01  6.097E+00  4.443E+00  3.541E+00  7.655E-05  1.394E-04
 5.012E-01  4.936E+02  4.886E+02  2.739E+02  2.401E+02  1.091E-03  1.031E-03  1.843E+01  5.554E+00  3.861E+00  3.088E+00  6.823E-05  1.007E-04
 5.623E-01  4.001E+02  3.951E+02  2.228E+02  1.940E+02  1.437E-03  1.083E-03  1.667E+01  5.036E+00  3.328E+00  2.671E+00  0.000E+00  8.977E-05
 6.310E-01  3.228E+02  3.181E+02  1.805E+02  1.562E+02  1.673E-03  1.317E-03  1.475E+01  4.541E+00  2.842E+00  2.303E+00  0.000E+00  9.866E-05
 7.079E-01  2.590E+02  2.549E+02  1.457E+02  1.252E+02  1.666E-03  1.465E-03  1.286E+01  4.073E+00  2.410E+00  1.966E+00  7.130E-05  4.830E-05
 7.943E-01  2.069E+02  2.034E+02  1.171E+02  9.995E+01  1.828E-03  1.367E-03  1.105E+01  3.638E+00  2.041E+00  1.667E+00  1.086E-04  3.621E-05
 8.913E-01  1.644E+02  1.616E+02  9.361E+01  7.935E+01  1.870E-03  1.494E-03  9.419E+00  3.226E+00  1.728E+00  1.407E+00  9.682E-05  7.111E-05
 1.000E+00  1.300E+02  1.277E+02  7.450E+01  6.265E+01  2.015E-03  1.493E-03  8.004E+00  2.843E+00  1.453E+00  1.184E+00  7.950E-05  6.338E-05
 1.122E+00  1.023E+02  1.005E+02  5.900E+01  4.926E+01  2.091E-03  1.575E-03  6.776E+00  2.491E+00  1.209E+00  9.891E-01  9.247E-05  6.095E-05
 1.259E+00  8.015E+01  7.865E+01  4.647E+01  3.855E+01  2.289E-03  1.957E-03  5.737E+00  2.162E+00  1.001E+00  8.226E-01  9.015E-05  9.015E-05
 1.413E+00  6.249E+01  6.121E+01  3.638E+01  3.001E+01  2.401E-03  2.069E-03  4.862E+00  1.860E+00  8.222E-01  6.791E-01  1.307E-04  5.628E-05
 1.585E+00  4.848E+01  4.739E+01  2.828E+01  2.322E+01  2.319E-03  2.176E-03  4.098E+00  1.589E+00  6.682E-01  5.548E-01  1.368E-04  7.017E-05
 1.778E+00  3.743E+01  3.650E+01  2.186E+01  1.785E+01  2.421E-03  2.158E-03  3.443E+00  1.355E+00  5.398E-01  4.484E-01  1.257E-04  1.015E-04
 1.995E+00  2.874E+01  2.793E+01  1.680E+01  1.365E+01  2.566E-03  2.067E-03  2.870E+00  1.140E+00  4.284E-01  3.579E-01  1.706E-04  8.655E-05
 2.239E+00  2.195E+01  2.125E+01  1.283E+01  1.038E+01  2.710E-03  2.289E-03  2.366E+00  9.465E-01  3.362E-01  2.830E-01  1.621E-04  1.127E-04
 2.512E+00  1.666E+01  1.609E+01  9.714E+00  7.850E+00  3.002E-03  2.467E-03  1.926E+00  7.808E-01  2.633E-01  2.214E-01  1.692E-04  1.239E-04
 2.818E+00  1.257E+01  1.210E+01  7.309E+00  5.894E+00  3.157E-03  2.592E-03  1.553E+00  6.357E-01  2.041E-01  1.722E-01  1.947E-04  1.271E-04
 3.162E+00  9.437E+00  9.053E+00  5.473E+00  4.396E+00  3.163E-03  2.661E-03  1.242E+00  5.140E-01  1.562E-01  1.319E-01  1.932E-04  1.050E-04
 3.548E+00  7.038E+00  6.733E+00  4.067E+00  3.257E+00  3.267E-03  2.704E-03  9.765E-01  4.134E-01  1.185E-01  1.002E-01  1.898E-04  1.054E-04
 3.981E+00  5.217E+00  4.983E+00  3.000E+00  2.404E+00  3.266E-03  2.732E-03  7.569E-01  3.277E-01  8.931E-02  7.622E-02  1.746E-04  1.185E-04
 4.467E+00  3.849E+00  3.671E+00  2.198E+00  1.766E+00  3.356E-03  2.769E-03  5.811E-01  2.566E-01  6.587E-02  5.718E-02  1.820E-04  1.147E-04
