KAM00
 6.310E-01  189.57  190.04  106.82   91.91   348.41   351.96   189.28   162.02  .502 1.010  .856    
 7.079E-01  165.53  165.69   93.67   80.70   279.92   283.38   154.05   131.01  .506 1.012  .850    
 7.943E-01  143.87  143.88   81.70   70.48   224.60   224.54   124.48   107.22  .516 1.000  .861    
 8.913E-01  124.40  124.60   70.89   61.06   179.52   176.03    99.93    88.00  .529  .981  .881    
 1.000E+00  107.04  107.60   61.17   52.47   141.61   138.98    79.88    70.55  .536  .981  .883    
 1.122E+00   91.77   92.49   52.47   44.84   110.29   110.53    63.58    55.27  .538 1.002  .869    
 1.259E+00   78.50   78.98   44.72   38.19    85.15    87.93    50.28    42.59  .537 1.033  .847    
 1.413E+00   66.98   67.04   37.89   32.44    66.08    68.36    39.20    32.84  .536 1.034  .838    
 1.585E+00   56.92   56.75   31.96   27.47    51.57    51.96    30.15    25.38  .536 1.008  .842    
 1.778E+00   48.10   48.04   26.86   23.15    40.25    38.94    22.95    19.60  .537  .967  .854    
 1.995E+00   40.43   40.68   22.52   19.42    30.95    29.59    17.42    15.01  .536  .956  .861    
 2.239E+00   33.86   34.36   18.83   16.24    23.43    22.82    13.20    11.38  .532  .974  .862    
 2.512E+00   28.32   28.86   15.69   13.53    17.54    17.74     9.98     8.59  .526 1.012  .861    
 2.818E+00   23.67   24.09   13.03   11.24    13.09    13.63     7.50     6.56  .526 1.041  .874    
 3.162E+00   19.78   20.00   10.80    9.26     9.75    10.33     5.60     5.05  .531 1.059  .901    
 3.548E+00   16.53   16.55    8.93    7.55     7.27     7.73     4.17     3.87  .536 1.064  .927    
 3.981E+00   13.80   13.66    7.38    6.11     5.45     5.72     3.09     2.79  .527 1.048  .903    
 4.467E+00   11.50   11.28    6.08    4.99     4.12     4.18     2.29     1.91  .506 1.013  .833    
 5.012E+00    9.54    9.34    5.01    4.14     3.13     3.04     1.69     1.26  .478  .972  .744    
 5.623E+00    7.87    7.73    4.12    3.49     2.38     2.28     1.26      .92  .467  .958  .730    
 6.310E+00    6.44    6.36    3.37    2.92     1.81     1.76      .94      .75  .473  .972  .795    
 7.079E+00    5.23    5.16    2.74    2.39     1.35     1.36      .70      .63  .490 1.003  .909    
KAM01
 1.995E-03 1510.41 1511.69  787.94  736.56  1017.84   974.88   227.61   209.37  .219  .958  .920    
 2.239E-03 1510.15 1511.45  787.88  736.51  1104.83  1007.16   260.19   244.43  .239  .912  .939    
 2.512E-03 1509.84 1511.16  787.80  736.43  1214.79  1082.29   295.74   287.99  .254  .891  .974    
 2.818E-03 1509.45 1510.82  787.70  736.34  1297.49  1148.55   365.07   362.44  .297  .885  .993    
 3.162E-03 1508.99 1510.42  787.56  736.19  1350.76  1199.61   460.47   459.78  .361  .888  .999    
 3.548E-03 1508.47 1509.94  787.36  736.00  1387.43  1242.49   570.22   567.23  .433  .896  .995    
 3.981E-03 1507.85 1509.39  787.09  735.73  1450.62  1307.83   684.09   665.58  .489  .902  .973    
 4.467E-03 1507.13 1508.74  786.73  735.38  1534.66  1389.77   795.91   751.56  .529  .906  .944    
 5.012E-03 1506.26 1507.96  786.27  734.95  1626.90  1485.03   907.85   830.77  .559  .913  .915    
 5.623E-03 1505.24 1507.01  785.67  734.41  1710.75  1617.44  1048.95   932.71  .595  .945  .889    
 6.310E-03 1504.04 1505.84  784.89  733.73  1782.22  1774.31  1209.46  1050.61  .635  .996  .869    
 7.079E-03 1502.64 1504.41  783.90  732.87  1864.41  1953.81  1378.66  1187.29  .672 1.048  .861    
 7.943E-03 1500.95 1502.62  782.63  731.76  2078.57  2210.28  1557.90  1400.10  .690 1.063  .899    
 8.913E-03 1498.78 1500.32  781.03  730.27  2394.66  2519.35  1737.37  1667.22  .693 1.052  .960    
 1.000E-02 1495.97 1497.40  779.04  728.30  2780.47  2866.51  1915.40  1948.26  .684 1.031 1.017    
 1.122E-02 1492.29 1493.63  776.58  725.78  3263.82  3306.63  2122.24  2161.33  .652 1.013 1.018    
 1.259E-02 1487.45 1488.76  773.52  722.72  3802.62  3802.92  2343.93  2305.94  .611 1.000  .984    
 1.413E-02 1481.17 1482.52  769.74  719.09  4359.30  4313.21  2569.95  2421.21  .576  .989  .942    
 1.585E-02 1473.16 1474.65  765.10  714.73  4929.43  4803.99  2819.33  2654.36  .562  .975  .941    
 1.778E-02 1463.08 1464.91  759.39  709.29  5481.05  5252.45  3074.25  2975.91  .564  .958  .968    
 1.995E-02 1450.61 1453.06  752.45  702.44  5995.98  5687.91  3315.65  3329.51  .569  .949 1.004    
 2.239E-02 1435.38 1438.46  744.11  693.94  6504.60  6321.43  3528.88  3636.83  .559  .972 1.031    
 2.512E-02 1416.94 1420.15  734.21  683.65  6977.56  7079.45  3704.38  3882.04  .540 1.015 1.048    
 2.818E-02 1394.90 1397.25  722.64  671.45  7385.24  7815.55  3839.10  4062.00  .520 1.058 1.058    
 3.162E-02 1368.91 1369.56  709.24  657.27  7709.42  8224.43  3944.18  4176.67  .510 1.067 1.059    
 3.548E-02 1338.68 1337.53  693.88  641.03  7935.69  8331.55  4013.58  4227.47  .507 1.050 1.053    
