SOLMAX              COS =     1.00                      COS =    -1.00
   0.85 1.34E-04 1.15E-04 5.65E-04 4.81E-04 1.34E-04 1.15E-04 5.65E-04 4.81E-04
   0.95 8.40E-05 6.39E-05 3.68E-04 3.15E-04 8.40E-05 6.39E-05 3.68E-04 3.15E-04
                    COS =     0.50                      COS =    -0.50
  -1.25 1.99E-02 1.93E-02 3.95E-02 3.94E-02 3.32E-02 3.06E-02 6.58E-02 6.59E-02
  -1.15 2.09E-02 2.02E-02 4.15E-02 4.15E-02 3.32E-02 3.07E-02 6.56E-02 6.56E-02
  -1.05 2.21E-02 2.16E-02 4.42E-02 4.48E-02 3.40E-02 3.13E-02 6.74E-02 6.78E-02
  -0.95 2.29E-02 2.22E-02 4.61E-02 4.60E-02 3.38E-02 3.12E-02 6.73E-02 6.72E-02
  -0.85 2.32E-02 2.23E-02 4.61E-02 4.65E-02 3.29E-02 3.01E-02 6.40E-02 6.44E-02
  -0.75 2.27E-02 2.18E-02 4.53E-02 4.59E-02 3.07E-02 2.83E-02 5.99E-02 6.05E-02
  -0.65 2.17E-02 2.07E-02 4.35E-02 4.38E-02 2.82E-02 2.58E-02 5.53E-02 5.54E-02
  -0.55 2.03E-02 1.91E-02 4.11E-02 4.07E-02 2.53E-02 2.30E-02 5.02E-02 4.95E-02
  -0.45 1.81E-02 1.71E-02 3.67E-02 3.65E-02 2.19E-02 2.00E-02 4.32E-02 4.32E-02
  -0.35 1.58E-02 1.46E-02 3.14E-02 3.15E-02 1.86E-02 1.66E-02 3.59E-02 3.60E-02
  -0.25 1.30E-02 1.20E-02 2.65E-02 2.64E-02 1.49E-02 1.32E-02 2.95E-02 2.94E-02
  -0.15 1.05E-02 9.52E-03 2.15E-02 2.12E-02 1.17E-02 1.03E-02 2.34E-02 2.30E-02
  -0.05 8.20E-03 7.42E-03 1.69E-02 1.64E-02 8.92E-03 7.87E-03 1.79E-02 1.74E-02
   0.05 6.24E-03 5.40E-03 1.28E-02 1.25E-02 6.61E-03 5.64E-03 1.32E-02 1.31E-02
   0.15 4.57E-03 3.92E-03 9.35E-03 9.28E-03 4.75E-03 4.01E-03 9.55E-03 9.53E-03
   0.25 3.17E-03 2.79E-03 6.77E-03 6.57E-03 3.25E-03 2.82E-03 6.83E-03 6.65E-03
   0.35 2.21E-03 1.89E-03 4.79E-03 4.42E-03 2.23E-03 1.90E-03 4.81E-03 4.45E-03
   0.45 1.42E-03 1.17E-03 3.26E-03 3.14E-03 1.43E-03 1.17E-03 3.25E-03 3.14E-03
   0.55 9.03E-04 7.47E-04 2.18E-03 2.07E-03 9.01E-04 7.47E-04 2.17E-03 2.07E-03
   0.65 5.80E-04 4.49E-04 1.44E-03 1.35E-03 5.77E-04 4.48E-04 1.43E-03 1.35E-03
   0.75 3.51E-04 2.80E-04 9.70E-04 8.93E-04 3.49E-04 2.79E-04 9.68E-04 8.90E-04
   0.85 2.03E-04 1.61E-04 6.08E-04 5.45E-04 2.03E-04 1.60E-04 6.07E-04 5.45E-04
   0.95 1.26E-04 9.18E-05 4.14E-04 3.43E-04 1.25E-04 9.16E-05 4.14E-04 3.43E-04
                    COS =     0.25                      COS =    -0.25
  -1.25 1.65E-02 1.60E-02 3.34E-02 3.32E-02 2.46E-02 2.32E-02 4.97E-02 4.95E-02
  -1.15 1.76E-02 1.72E-02 3.58E-02 3.57E-02 2.55E-02 2.41E-02 5.16E-02 5.13E-02
  -1.05 1.91E-02 1.84E-02 3.83E-02 3.85E-02 2.68E-02 2.50E-02 5.34E-02 5.34E-02
  -0.95 1.99E-02 1.94E-02 4.01E-02 4.02E-02 2.69E-02 2.53E-02 5.37E-02 5.37E-02
  -0.85 2.04E-02 1.98E-02 4.10E-02 4.10E-02 2.66E-02 2.49E-02 5.23E-02 5.20E-02
  -0.75 2.04E-02 1.97E-02 4.05E-02 4.04E-02 2.54E-02 2.39E-02 4.95E-02 4.92E-02
  -0.65 1.97E-02 1.87E-02 3.91E-02 3.94E-02 2.35E-02 2.18E-02 4.59E-02 4.61E-02
  -0.55 1.85E-02 1.77E-02 3.67E-02 3.70E-02 2.14E-02 1.98E-02 4.15E-02 4.18E-02
  -0.45 1.71E-02 1.61E-02 3.33E-02 3.31E-02 1.93E-02 1.75E-02 3.65E-02 3.64E-02
  -0.35 1.50E-02 1.43E-02 2.93E-02 2.94E-02 1.64E-02 1.52E-02 3.13E-02 3.15E-02
  -0.25 1.29E-02 1.18E-02 2.48E-02 2.48E-02 1.38E-02 1.23E-02 2.60E-02 2.60E-02
  -0.15 1.08E-02 9.77E-03 2.06E-02 2.04E-02 1.13E-02 1.00E-02 2.11E-02 2.10E-02
  -0.05 8.66E-03 7.85E-03 1.64E-02 1.62E-02 8.93E-03 7.94E-03 1.66E-02 1.64E-02
   0.05 6.89E-03 6.07E-03 1.27E-02 1.26E-02 6.95E-03 6.08E-03 1.27E-02 1.26E-02
   0.15 5.23E-03 4.47E-03 9.48E-03 9.47E-03 5.23E-03 4.45E-03 9.40E-03 9.42E-03
   0.25 3.81E-03 3.21E-03 7.01E-03 7.01E-03 3.78E-03 3.18E-03 6.92E-03 6.93E-03
   0.35 2.69E-03 2.26E-03 5.06E-03 4.99E-03 2.66E-03 2.23E-03 4.98E-03 4.91E-03
   0.45 1.78E-03 1.52E-03 3.52E-03 3.38E-03 1.75E-03 1.50E-03 3.47E-03 3.34E-03
   0.55 1.22E-03 9.85E-04 2.37E-03 2.35E-03 1.21E-03 9.76E-04 2.35E-03 2.32E-03
   0.65 7.67E-04 6.56E-04 1.63E-03 1.58E-03 7.59E-04 6.50E-04 1.61E-03 1.57E-03
   0.75 4.92E-04 4.01E-04 1.09E-03 1.04E-03 4.87E-04 3.99E-04 1.08E-03 1.04E-03
   0.85 3.17E-04 2.62E-04 7.25E-04 6.86E-04 3.15E-04 2.61E-04 7.21E-04 6.83E-04
   0.95 1.96E-04 1.61E-04 4.82E-04 4.28E-04 1.95E-04 1.61E-04 4.80E-04 4.28E-04
                    COS =     0.15                      COS =    -0.15
  -1.25 1.54E-02 1.50E-02 3.08E-02 3.10E-02 1.57E-02 1.53E-02 3.15E-02 3.17E-02
  -1.15 1.69E-02 1.64E-02 3.38E-02 3.39E-02 1.71E-02 1.66E-02 3.43E-02 3.45E-02
  -1.05 1.81E-02 1.75E-02 3.66E-02 3.63E-02 1.84E-02 1.77E-02 3.70E-02 3.67E-02
  -0.95 1.92E-02 1.84E-02 3.82E-02 3.85E-02 1.93E-02 1.84E-02 3.85E-02 3.87E-02
  -0.85 1.93E-02 1.86E-02 3.89E-02 3.87E-02 1.93E-02 1.86E-02 3.87E-02 3.86E-02
  -0.75 1.94E-02 1.86E-02 3.83E-02 3.85E-02 1.92E-02 1.84E-02 3.80E-02 3.81E-02
  -0.65 1.88E-02 1.80E-02 3.71E-02 3.72E-02 1.85E-02 1.77E-02 3.66E-02 3.66E-02
  -0.55 1.76E-02 1.71E-02 3.49E-02 3.51E-02 1.74E-02 1.67E-02 3.42E-02 3.43E-02
  -0.45 1.64E-02 1.54E-02 3.19E-02 3.21E-02 1.61E-02 1.50E-02 3.11E-02 3.12E-02
  -0.35 1.46E-02 1.37E-02 2.81E-02 2.80E-02 1.42E-02 1.33E-02 2.73E-02 2.73E-02
  -0.25 1.28E-02 1.19E-02 2.39E-02 2.41E-02 1.24E-02 1.15E-02 2.32E-02 2.34E-02
  -0.15 1.08E-02 9.73E-03 2.00E-02 1.97E-02 1.05E-02 9.44E-03 1.94E-02 1.91E-02
  -0.05 8.65E-03 7.79E-03 1.63E-02 1.58E-02 8.38E-03 7.55E-03 1.58E-02 1.54E-02
   0.05 6.81E-03 6.06E-03 1.25E-02 1.25E-02 6.62E-03 5.90E-03 1.21E-02 1.22E-02
   0.15 5.32E-03 4.65E-03 9.30E-03 9.45E-03 5.16E-03 4.54E-03 9.09E-03 9.23E-03
   0.25 3.97E-03 3.42E-03 7.06E-03 7.01E-03 3.88E-03 3.35E-03 6.92E-03 6.86E-03
   0.35 2.84E-03 2.36E-03 5.07E-03 5.06E-03 2.79E-03 2.32E-03 4.99E-03 4.98E-03
   0.45 1.99E-03 1.67E-03 3.57E-03 3.59E-03 1.96E-03 1.65E-03 3.53E-03 3.55E-03
   0.55 1.39E-03 1.17E-03 2.51E-03 2.52E-03 1.37E-03 1.16E-03 2.49E-03 2.51E-03
   0.65 9.16E-04 7.64E-04 1.73E-03 1.69E-03 9.10E-04 7.61E-04 1.73E-03 1.69E-03
   0.75 6.11E-04 4.90E-04 1.18E-03 1.14E-03 6.09E-04 4.89E-04 1.17E-03 1.14E-03
   0.85 3.82E-04 3.14E-04 7.93E-04 7.66E-04 3.81E-04 3.14E-04 7.93E-04 7.65E-04
   0.95 2.43E-04 1.98E-04 5.24E-04 4.97E-04 2.43E-04 1.98E-04 5.24E-04 4.97E-04
                    COS =     0.05                      COS =    -0.05
  -1.25 1.42E-02 1.40E-02 2.88E-02 2.89E-02 1.31E-02 1.30E-02 2.66E-02 2.67E-02
